time,pelvis_x,pelvis_y,pelvis_z,abdomen:l5_x,abdomen:l5_y,abdomen:l5_z,abdomen:l3_x,abdomen:l3_y,abdomen:l3_z,torso:t12_x,torso:t12_y,torso:t12_z,torso:t8_x,torso:t8_y,torso:t8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_upperarm_x,r_upperarm_y,r_upperarm_z,r_forearm_x,r_forearm_y,r_forearm_z,r_hand_x,r_hand_y,r_hand_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_upperarm_x,l_upperarm_y,l_upperarm_z,l_forearm_x,l_forearm_y,l_forearm_z,l_hand_x,l_hand_y,l_hand_z,r_thigh_x,r_thigh_y,r_thigh_z,r_shank_x,r_shank_y,r_shank_z,r_foot_x,r_foot_y,r_foot_z,r_toe_x,r_toe_y,r_toe_z,l_thigh_x,l_thigh_y,l_thigh_z,l_shank_x,l_shank_y,l_shank_z,l_foot_x,l_foot_y,l_foot_z,l_toe_x,l_toe_y,l_toe_z
0.0,0.131795110157183,0.0714350267230869,-0.00397985008864014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104839487634593,0.177196424059127,0.00205510181844814,0.0,0.0,0.0,0.111095513007269,0.177393781960579,-0.0333361399275159,0.0956121927095582,0.16141390246361,-0.00501882123432932,0.0950163808018696,0.202522259337694,0.0103834177725134,0.0707968025018703,0.262780773481576,-0.0015042743808268,-1.23818212895421,-0.502149027452228,0.121715632838144,0.0990590572908754,0.212065328364933,-0.00500483244355099,0.118861046013842,0.178978842531265,0.01166519760142,0.104482464854458,0.227716873889631,-0.0104544677343549,-0.544412784347388,-0.797840051269387,0.0585711056449358,0.0291486568355818,0.163724559659776,0.0110082927734197,0.120501429780463,-0.0286020754719682,-0.013069045134439,0.0365526408278132,0.0267039860688225,-0.010489289430235,0.0365526408278132,0.0267039860688225,-0.010489289430235,-0.0347284320795311,-0.116931001489201,0.00314845095010723,0.0824414285718098,-0.0140912199013175,-0.0761117942093943,0.0594367726256713,0.0118653908772713,-0.00579018644099289,0.0594367726256713,0.0118653908772713,-0.00579018644099289
0.016666666666666666,0.129347382195303,0.0688666263296133,-0.0039303957488251,0.000313810827232992,-0.000661327719191357,-0.000187857072597376,0.000553483517025912,-0.000556011623893699,-0.000201964864188491,0.000876872399898621,-0.000502958194701794,-0.00018417421925855,0.102916563425207,0.172305484283883,0.00264468535115513,0.00202502837409717,-0.000540342605511099,-0.000184046064786454,0.108634801525119,0.172138326664516,-0.0324557137270491,0.0949645363615527,0.156447829358992,-0.00458540336825977,0.0945903886330306,0.196096258283303,0.0105948950041136,0.0704652922999311,0.255515005898998,-0.0016774406048855,-1.19712401499376,-0.48560669569044,0.117702110291799,0.0974538977656162,0.20503046534282,-0.004924737369681,0.117817753744862,0.17262445747536,0.0113975819662985,0.104098675142034,0.219525872826696,-0.0101385618072865,-0.524438959437095,-0.771465037594325,0.0564869438059514,0.0290310796321842,0.158965184270027,0.0108710894600913,0.117755348127333,-0.0275146020397536,-0.0128834533505602,0.0355886146218486,0.025628495551377,-0.00984091228280025,0.0355886146218486,0.025628495551377,-0.00984091228280025,-0.0323867174655186,-0.115825344456334,0.00288033116806608,0.0806423430745965,-0.013235284894266,-0.0748709139599686,0.0583204207411094,0.0113980528167025,-0.00568087746019791,0.0583204207411094,0.0113980528167025,-0.00568087746019791
0.03333333333333333,0.126899654233423,0.0662982259361398,-0.00388094140901006,0.000627621654465984,-0.00132265543838271,-0.000375714145194753,0.00110696703405182,-0.0011120232477874,-0.000403929728376981,0.00175374479979724,-0.00100591638940359,-0.000368348438517099,0.100993639215821,0.16741454450864,0.00323426888386212,0.00405005674819435,-0.0010806852110222,-0.000368092129572907,0.106174090042969,0.166882871368453,-0.0315752875265823,0.0943168800135472,0.151481756254374,-0.00415198550219023,0.0941643964641916,0.189670257228912,0.0108063722357138,0.0701337820979919,0.248249238316419,-0.0018506068289442,-1.15606590103332,-0.469064363928651,0.113688587745453,0.0958487382403569,0.197995602320706,-0.00484464229581102,0.116774461475882,0.166270072419455,0.011129966331177,0.103714885429611,0.211334871763762,-0.00982265588021814,-0.504465134526802,-0.745090023919263,0.0544027819669669,0.0289135024287866,0.154205808880278,0.010733886146763,0.115009266474203,-0.0264271286075389,-0.0126978615666815,0.034624588415884,0.0245530050339314,-0.00919253513536555,0.034624588415884,0.0245530050339314,-0.00919253513536555,-0.0300450028515061,-0.114719687423466,0.00261221138602493,0.0788432575773832,-0.0123793498872144,-0.0736300337105428,0.0572040688565475,0.0109307147561338,-0.00557156847940293,0.0572040688565475,0.0109307147561338,-0.00557156847940293
0.05,0.124321287179962,0.0639413280948981,-0.0038737542259693,0.000889561275605826,-0.00221388470475629,-0.000556331370053001,0.00159137458631489,-0.00196103957219545,-0.000598336697990815,0.00249104730019479,-0.00185621007945178,-0.000549464829393213,0.0991284597622098,0.162357934293681,0.00358552305724194,0.00557798584280201,-0.00204590819902439,-0.000551005676586392,0.103930922661338,0.161796897031754,-0.0307177984227368,0.093339859593943,0.14660238881086,-0.00395856007256016,0.0934939490915387,0.183432872371381,0.0107026268438363,0.0695102021082128,0.240430885731415,-0.0020236854901124,-1.11506991240188,-0.452941812536148,0.110081080297037,0.0940176068454097,0.191189700919356,-0.00501275952539873,0.11508510108351,0.160272545748241,0.0106768991110233,0.102728259443756,0.203178862247796,-0.00964484918800816,-0.484504170382217,-0.718838915619755,0.0522738812552707,0.0290973768580133,0.148672479449522,0.0107276554935507,0.111965631597433,-0.0252252422020394,-0.0125771140647968,0.0334535626284218,0.0234768013472073,-0.00884413207941385,0.0334535626284218,0.0234768013472073,-0.00884413207941385,-0.0279048272242251,-0.112711062755716,0.00241649195103179,0.07678871752616,-0.0115310141319247,-0.0723778608187818,0.0560366201830991,0.0104747324371368,-0.00546430193658217,0.0560366201830991,0.0104747324371368,-0.00546430193658217
0.06666666666666667,0.121512096449259,0.0619056336793365,-0.00396693575898783,-0.00315668247103509,-0.00667612659509278,-0.000662156527268152,-0.0022461812696856,-0.00651980949567956,-0.000718718779419433,-0.00119213472472848,-0.00655267372864512,-0.000663555488610197,0.0973735235394051,0.157030578531045,0.00355231918237422,0.0021566414888447,-0.00713218648352119,-0.000673831931501236,0.102057249783419,0.157019415315613,-0.0299310950876661,0.0918981116990839,0.141828630975029,-0.00426785449219405,0.0924716655295978,0.177596340957299,0.00991898143338558,0.0684033505059742,0.231602144515817,-0.00227903659789093,-1.07406707149341,-0.43757600794024,0.107204761631449,0.0917950272110126,0.184813019876623,-0.00568969962228646,0.112269047302408,0.154912281477363,0.00981112964484551,0.100693343559617,0.195012149150091,-0.00975260149111828,-0.464409058546783,-0.692711477276332,0.049918162853016,0.0298704705886107,0.141413788193948,0.0110144626288306,0.10831456664733,-0.0237491329789872,-0.0125966800152825,0.0318857055316854,0.0224139307770796,-0.00904539942436868,0.0318857055316854,0.0224139307770796,-0.00904539942436868,-0.0260905634501254,-0.109308872621078,0.00227838372405751,0.0742668695674853,-0.0107695009646462,-0.0711395431663469,0.0547611857673322,0.0100191027312015,-0.00536045634530646,0.0547611857673322,0.0100191027312015,-0.00536045634530646
0.08333333333333333,0.118572266626975,0.0600814418160068,-0.00410238444878063,-0.00725479742376915,-0.0113682700326115,-0.000760741836744176,-0.00615281309044893,-0.011371584119678,-0.000831542966273394,-0.00501488664915282,-0.0115964728731848,-0.000774588319444745,0.0956763320723757,0.151537552328694,0.00328078594817933,-0.00176180214460212,-0.0126433451505091,-0.000795525668643111,0.10040112100602,0.152411414558837,-0.0291673288492166,0.0901269997326263,0.137141578800303,-0.00481714134826741,0.0912049267638431,0.171948425740077,0.00882011339945714,0.0670044291158957,0.222220818297792,-0.00253430014277896,-1.03312635591394,-0.422629983713617,0.104734458063791,0.0893464757069276,0.178665300454653,-0.00661485202263188,0.108806925397914,0.149908875591177,0.00875990859363555,0.0980555914020467,0.186880427599355,-0.00999845302908679,-0.444326807477057,-0.666707944308464,0.0475177055780496,0.0309450159518323,0.133381142897367,0.0114322424242267,0.104365948473586,-0.02215861078265,-0.0126810902477623,0.0301108488534514,0.0213503470376732,-0.00954664086080652,0.0301108488534514,0.0213503470376732,-0.00954664086080652,-0.0244778386627573,-0.105003714851558,0.00221267584413125,0.0714895670548007,-0.0100155870491295,-0.0698899328715768,0.0534346545626788,0.00957482876683803,-0.00525865319200496,0.0534346545626788,0.00957482876683803,-0.00525865319200496
0.1,0.11567171237851,0.0583511524367964,-0.00414806277426697,0.0013122816963733,-0.00649688333415249,-0.00104750411045385,0.00256106548976413,-0.00655912144902012,-0.00112865234480972,0.00372596550487991,-0.00683843961702117,-0.00107140920334451,0.0939371346918038,0.146028410570794,0.0029709800620912,0.0066820781701984,-0.00791573984046866,-0.00109181869321607,0.0987242292200802,0.147725340737215,-0.0283058907875493,0.0881032498339402,0.132571226108051,-0.0050582308387463,0.0897714205468835,0.166041031176815,0.00818483230385972,0.0655949736239972,0.213107732959421,-0.00254230853338345,-0.992516823810651,-0.407512620943647,0.102100663637303,0.0869424095727524,0.172374728060641,-0.00725459733836568,0.105494543042647,0.144777974427438,0.00801953635533673,0.0955485275721646,0.178955774528685,-0.0100781237553868,-0.424711303308424,-0.640952928350108,0.0455740070111993,0.0317591615740631,0.126654812870198,0.0116257721547267,0.100751854401648,-0.0208186921725459,-0.0126687815331011,0.0284914881955515,0.0202431981020844,-0.00989874155193987,0.0284914881955515,0.0202431981020844,-0.00989874155193987,-0.022895073249503,-0.10036441530828,0.00233613607538845,0.0688369154944207,-0.00903920162838812,-0.0685422936471514,0.0521765966405489,0.00918627567114827,-0.00515679937393934,0.0521765966405489,0.00918627567114827,-0.00515679937393934
0.11666666666666667,0.112900608701594,0.0567222200736757,-0.00397867644586724,0.0367086845771756,0.0185013934022048,-0.00168473022797575,0.0380107936965017,0.0186371654273281,-0.00176763760698232,0.0390964153100989,0.0186246762805745,-0.00171234569836815,0.0920831333837523,0.140460122311702,0.00262786672026515,0.0414117200317567,0.0184960609348463,-0.00170794573403772,0.096932270971196,0.142832196756146,-0.0272450042250807,0.085668542831735,0.128176462429382,-0.00463612666056421,0.0881302602977225,0.159579129722049,0.00854077509484784,0.0642828885554255,0.204722799344656,-0.00206229793732747,-0.952305819760864,-0.392033300074442,0.0990863214858879,0.0845832120414695,0.165694858140204,-0.00731991835849212,0.102498741350829,0.139314471025342,0.00789565717354854,0.0934223755433332,0.171402977818041,-0.00979494081332296,-0.405836817998287,-0.615427667237372,0.0444690710822121,0.0321189231307899,0.122524633320403,0.0114146150141211,0.0977206465318316,-0.0199432664737605,-0.0124138247916906,0.0271940652967979,0.0190365669242462,-0.00991004892321263,0.0271940652967979,0.0190365669242462,-0.00991004892321263,-0.0213165218135392,-0.0952019421415503,0.00282346378167442,0.0665428799807219,-0.00767700371306963,-0.0670169976143867,0.0510736049236544,0.00888015303554603,-0.0050440201824967,0.0510736049236544,0.00888015303554603,-0.0050440201824967
0.13333333333333333,0.110168780598498,0.0551871901946744,-0.00371951975316105,0.0847702815308545,0.0530632002745399,-0.00251013330973131,0.0860810323042157,0.0534976895983326,-0.00259090806083729,0.087030469193775,0.0538896245788737,-0.00253907024645701,0.0901871261621583,0.134875718497062,0.00224648072654587,0.0885036858415623,0.0551466256871895,-0.00249867206229046,0.0951195497137718,0.137860979710232,-0.0260864458393944,0.0829811978973014,0.123898398233188,-0.00390582511678764,0.0863223325973567,0.152857748921242,0.00936030482416699,0.0629602693850337,0.196606106609543,-0.00133503218698795,-0.912425999187249,-0.376382640661889,0.095908488475642,0.0822684998800965,0.158872135247726,-0.00709983229400694,0.0996526792082392,0.133723472345694,0.00808262680467148,0.0914269118421902,0.164057249587463,-0.00934557705959064,-0.387429079589243,-0.590150923134148,0.0438208938613411,0.032218284946526,0.11970076904002,0.0109792078086195,0.0950239627638202,-0.0193184443612082,-0.0120621491031393,0.0260521384183783,0.0177863705502255,-0.00977221554918089,0.0260521384183783,0.0177863705502255,-0.00977221554918089,-0.0197679297516893,-0.0897053272010634,0.00349995959914385,0.0643734954193277,-0.00609233429252652,-0.0653936726519668,0.0500390864892834,0.0086297512686175,-0.00493119032628994,0.0500390864892834,0.0086297512686175,-0.00493119032628994
0.15,0.107375617741428,0.0536060991357684,-0.00361443804380646,0.115721748773029,0.0752918892602506,-0.00323226952895752,0.117115350002001,0.0758209323260626,-0.00331753471676991,0.118033320415679,0.0763958224517401,-0.00326544605488272,0.0883677563995151,0.129553846847971,0.00201198319990138,0.119047086031821,0.078363304311342,-0.00320402529672545,0.0933306687019625,0.132951126859067,-0.025014936743402,0.080592898683882,0.119590358747512,-0.00338412531458211,0.084547984941384,0.146313875867879,0.00983932020886228,0.0615849382234009,0.188198748104304,-0.000835635188102634,-0.872944386504966,-0.360541382461011,0.0926488292480887,0.080267580629284,0.152274078453558,-0.00692777138982801,0.0972516409448297,0.12813594560866,0.00815981291585038,0.0895449906497688,0.156596303130167,-0.00901577101774959,-0.36911915834447,-0.565303594166077,0.042984961140174,0.032077348621195,0.116393983715577,0.0105056382318376,0.0925487941221022,-0.0186675744191503,-0.0118899784771371,0.024928877945688,0.0166175080913195,-0.00961108431672554,0.024928877945688,0.0166175080913195,-0.00961108431672554,-0.0181549536418059,-0.0850104918970269,0.00395829320039629,0.0620069720334233,-0.00454514557782993,-0.0638244661086246,0.04893283264071,0.00839930672322311,-0.00484884082841938,0.04893283264071,0.00839930672322311,-0.00484884082841938
