time,l5s1_lateralFlexion,l5s1_axialFlexion,l5s1_flexion,l4l3_lateralFlexion,l4l3_rotation,l4l3_flexion,l1t12_lateralFlexion,l1t12_rotation,l1t12_flexion,t9t8_lateralFlexion,t9t8_rotation,t9t8_flexion,t1c7_lateralFlexion,t1c7_rotation,t1c7_flexion,head_lateralFlexion,head_rotation,head_flexion,r_t4_shoulder_adduction,r_t4_shoulder_rotation,r_t4_shoulder_flexion,r_shoulder_adduction,r_shoulder_rotation,r_shoulder_flexion,r_elbow_deviation,r_elbow_pronation,r_elbow_flexion,r_wrist_deviation,r_wrist_pronation,r_wrist_flexion,l_t4_shoulder_adduction,l_t4_shoulder_rotation,l_t4_shoulder_flexion,l_shoulder_adduction,l_shoulder_rotation,l_shoulder_flexion,l_elbow_deviation,l_elbow_pronation,l_elbow_flexion,l_wrist_deviation,l_wrist_pronation,l_wrist_flexion,r_hip_adduction,r_hip_rotation,r_hip_flexion,r_knee_adduction,r_knee_rotation,r_knee_flexion,r_ankle_adduction,r_ankle_rotation,r_ankle_flexion,r_ballfoot_adduction,r_ballfoot_rotation,r_ballfoot_flexion,l_hip_adduction,l_hip_rotation,l_hip_flexion,l_knee_adduction,l_knee_rotation,l_knee_flexion,l_ankle_adduction,l_ankle_rotation,l_ankle_flexion,l_ballfoot_adduction,l_ballfoot_rotation,l_ballfoot_flexion
0.0,1.44029916589537,-1.1257685744,-2.41559798626481,0.592622818052658,-0.555829052692692,-6.89645352339388,0.592565481397776,-0.555890178759147,-1.07602187313818,0.485353625924109,-0.368465343093063,5.03026930540563,-1.15739104105552,1.17486118294176,10.3946803513232,-1.57760774955429,2.62490619545424,-16.7395727727702,-8.20383789560228,11.4139511598441,1.90390207497564,6.08450196346627,-3.99322974662542,4.9831043132333,-1.42401652182447,87.3740232637602,0.438165539799756,-6.49350085713371,-1.21169837902451,-6.73464579182838,-11.5452037278075,8.31327916942298,0.826494433271132,4.81826407647425,-5.27162082315609,5.32041541763437,-3.99458022436689,89.0628270143856,-0.084659058870317,-1.59020703630881,1.25673482955247,-5.92140134443404,-2.39689136673699,7.51029205899649,4.99990820147851,0.0835883934792362,-1.58948876130771,0.219484884486064,1.68522618244809,-3.81379037143507,5.21995729220152,0.0,0.0,0.0,2.45089432191246,-0.985249260881829,4.5170862667938,-0.523789997056831,-0.746957251550024,-1.06359022657272,-1.25722392242853,-1.5830315373732,3.48772901125515,0.0,0.0,0.0
0.016666666666666666,1.40689460574808,-1.12806081861941,-2.40884324031028,0.577725416325434,-0.555529963353161,-6.89351343702057,0.577668060879059,-0.555589512036775,-1.07308200327175,0.474215152523895,-0.369405640270466,5.03245044040236,-1.13151393750889,1.16239023378089,10.4167187157861,-1.53676709741002,2.59086201816918,-16.6979438708308,-8.24236089076159,11.3089859359649,1.8563638489214,6.10178700979098,-3.94373387469881,4.88393153151175,-1.35105102543928,87.419400562445,0.350406774706852,-6.36151719317496,-1.23586119761382,-6.66454734884241,-11.4496119995673,8.26732575996703,0.770043125957358,4.84696074867859,-5.23068974957907,5.22493448724454,-3.89507366858521,89.0842461357209,-0.12695691764198,-1.48826174256256,1.25376734098898,-5.81537022538686,-2.41203712537828,7.5373958832751,4.96630249917434,0.237916074916899,-1.75413844563836,0.316128191580082,1.5485014406748,-3.71615365587858,5.27293043146771,0.0,0.0,0.0,2.41862560940002,-0.939058064725775,4.44911542336847,-0.564063489511406,-0.794190350389662,-1.06190321035352,-1.20004005928906,-1.54890334963419,3.4835020990962,0.0,0.0,0.0
0.03333333333333333,1.37349054878164,-1.13031870067166,-2.4020724122756,0.562829667919004,-0.555214873248413,-6.89056656409904,0.562772355041151,-0.555272890758735,-1.07013504032194,0.463076744147519,-0.370333765363289,5.03463737537382,-1.10563871525207,1.14992856753859,10.4387587461847,-1.49591276414208,2.55685074952627,-16.6563268858051,-8.28090132709693,11.2040696700105,1.80880200598219,6.11929828984036,-3.89422058402435,4.7848206613325,-1.27790940313646,87.464606639901,0.262769546395692,-6.22950469297706,-1.25994517910222,-6.59454367818656,-11.3539943361488,8.22131542592511,0.713614551596702,4.87584358062554,-5.18973050075749,5.12954149534859,-3.7955027584769,89.1054785377861,-0.16914394992678,-1.38630576465365,1.25091110701733,-5.70935440453567,-2.42721288496924,7.56448319185327,4.93269032738567,0.391982806536916,-1.91899110661525,0.413289527012646,1.41169465055833,-3.61864094466581,5.32567248276021,0.0,0.0,0.0,2.38638635271629,-0.892851822596052,4.38111629195933,-0.604340097533317,-0.841422516762459,-1.06028051845377,-1.14284961242364,-1.51478745806188,3.47930418973525,0.0,0.0,0.0
0.05,1.34288412067825,-1.13211500507719,-2.39707677520719,0.549195696813935,-0.554801568329257,-6.88840473485978,0.549138466371274,-0.554858214619764,-1.06797304099891,0.452872589868915,-0.37108947095013,5.03623779728994,-1.08179315329361,1.13896107563018,10.4596980479192,-1.45803984950504,2.52644632365522,-16.6168189705329,-8.31732114939251,11.1074230923681,1.7650498098988,6.13552185236521,-3.84789093506266,4.69190225427052,-1.2078626687971,87.5048731590436,0.180904610116999,-6.10212008432025,-1.27630264572136,-6.52732678431718,-11.2644008547967,8.17708972757237,0.66351534945735,4.90306716222812,-5.1478567000843,5.03792460193615,-3.70185564285852,89.11962455796,-0.204356876169109,-1.29442583820082,1.25343066693052,-5.60716597508805,-2.43686398302347,7.59304809970116,4.90389161502881,0.522611441147599,-2.07349405419729,0.512331389227792,1.29139265799547,-3.53021595133333,5.38204711784401,0.0,0.0,0.0,2.35349893748682,-0.849712631953752,4.31956750767842,-0.637812023161115,-0.885458568214986,-1.05344050312007,-1.08999901441472,-1.48445416033738,3.48179975428086,0.0,0.0,0.0
0.06666666666666667,1.31615868838174,-1.13305929711481,-2.39532476677126,0.537322610867468,-0.554157035294535,-6.887679579056,0.537265470107621,-0.554212478927025,-1.06724783576407,0.443965106074094,-0.371534065863053,5.03676334012411,-1.06109242914548,1.13018936760296,10.4796654655311,-1.42486257073151,2.50139585080873,-16.5792048799817,-8.35020647053,11.0225625535444,1.72727022168386,6.14857099950708,-3.80483309818882,4.60763275450968,-1.14110595182321,87.5357399774904,0.107066058236868,-5.98068729232091,-1.28140785277466,-6.46389818262631,-11.1833508664888,8.13598382431278,0.623515790026986,4.92742709288132,-5.10242841984995,4.95009004251901,-3.61621926311975,89.1215924353415,-0.228445336888944,-1.21748194655032,1.26351979203462,-5.50995354715362,-2.4376736059967,7.62724986567238,4.88311281006096,0.617459745529934,-2.21726989659864,0.615804550815559,1.1962362662082,-3.45400052475299,5.4455383666188,0.0,0.0,0.0,2.31884649366439,-0.811191466544718,4.26810878447885,-0.660913764844584,-0.924845478959992,-1.03817638928765,-1.04341609961222,-1.45969947642944,3.49536757337642,0.0,0.0,0.0
0.08333333333333333,1.29223002099512,-1.13356172729319,-2.3953577714789,0.526710056355789,-0.553423812024457,-6.88774356248545,0.526652984964203,-0.553478154185198,-1.06731184293952,0.435991606427248,-0.371813525232593,5.03669896474795,-1.04241922746851,1.1229117805192,10.4985312532808,-1.39466875781416,2.47994524600254,-16.5436942227729,-8.38096458955833,10.9459493268438,1.69331378833781,6.16024699330883,-3.76496835833112,4.52952520184281,-1.07753839462995,87.5617078065092,0.0389361672996021,-5.86387749364915,-1.27879631610085,-6.40323121501287,-11.1083382694564,8.09670088792847,0.5898255127815,4.9500880539468,-5.05608715586003,4.86601413545311,-3.53657986355236,89.1165432081318,-0.245678082192015,-1.15060925806031,1.27896819294914,-5.41656430710477,-2.43294378610841,7.66294498747364,4.8671503274844,0.688842178184415,-2.35060204433085,0.720867332264657,1.11759808408493,-3.38682396464524,5.51279137108997,0.0,0.0,0.0,2.28353352367571,-0.775740101041992,4.22310438178815,-0.677235646792424,-0.961038162455854,-1.01766418416806,-1.00118135365688,-1.4387093705441,3.51561266321276,0.0,0.0,0.0
0.1,1.27064360378048,-1.13440095393337,-2.3945789824221,0.517118676380959,-0.552935191473449,-6.88744087174838,0.517061638618881,-0.552988528877979,-1.06700914896195,0.428798581935999,-0.372196247448581,5.03691139355308,-1.02445308682756,1.11650434638452,10.5148050278982,-1.36531926363517,2.4604072830721,-16.5130199903362,-8.41168823155808,10.8752161935278,1.66055221815706,6.1745304150374,-3.73126107859615,4.45628928728407,-1.01997894089293,87.5914842663091,-0.0246878167349571,-5.75236227103561,-1.27141335191238,-6.34497590204268,-11.0378806930733,8.05713872924727,0.557403562527784,4.97272290215698,-5.01587751175005,4.78932555973512,-3.46277786724609,89.1129863494299,-0.261814035348156,-1.08931022119104,1.2984257705194,-5.32735244072579,-2.42704166323324,7.68917774127668,4.85120992080966,0.750655009023814,-2.46390581337897,0.820683417513345,1.04617606166072,-3.3282005293839,5.57745374736751,0.0,0.0,0.0,2.25020953664413,-0.741797666066516,4.18012130448025,-0.690704384223068,-0.995200459334662,-0.996188483527564,-0.961871980147714,-1.41983616887741,3.53603386596366,0.0,0.0,0.0
0.11666666666666667,1.25195275225377,-1.13596047329598,-2.39150579255675,0.508774088323334,-0.552886571473366,-6.88611019518695,0.508717046350479,-0.552939041620512,-1.06567843939106,0.422569033830356,-0.372811033826805,5.03789696479204,-1.00721499586991,1.11097059606733,10.527379858293,-1.3368320893792,2.44280623412389,-16.4892372823764,-8.44295270691256,10.810671360775,1.6283657454064,6.19444522410445,-3.70678081355008,4.38815859061221,-0.97162079541882,87.6307806152628,-0.0838506315613811,-5.64667760226954,-1.25906830705127,-6.29083613357087,-10.972693454311,8.0151811983782,0.524540127886145,4.99612079976497,-4.98499423507632,4.72262790031469,-3.39609241228194,89.1142108589142,-0.278654239834519,-1.03233228913573,1.32208303276076,-5.24476806185937,-2.42154307439348,7.69774794918381,4.83308973737044,0.806553264444904,-2.54774497668907,0.913378980279022,0.979442015239894,-3.27863684513107,5.63786681153926,0.0,0.0,0.0,2.22026101955955,-0.708759165993508,4.13698822303016,-0.702366892184042,-1.02847827989452,-0.97435941581853,-0.92537945780832,-1.40276339083415,3.55498971160656,0.0,0.0,0.0
0.13333333333333333,1.23560403469517,-1.13786215960855,-2.38762355218247,0.501450436862265,-0.55308466053358,-6.88441410295906,0.501393373744378,-0.553136375120173,-1.06398235291327,0.417119974156687,-0.373530653780562,5.03915819992781,-0.990685480866614,1.10629843888375,10.5373629534884,-1.30920001097925,2.42709854977292,-16.4702882443286,-8.47418036648589,10.7520000299882,1.59738372196198,6.21690526576336,-3.68848456686833,4.32489401839912,-0.929234383327916,87.6739543794615,-0.138489407274448,-5.54628459159504,-1.24196106598169,-6.23910325599926,-10.9120705697043,7.97294454716792,0.492935230136796,5.0194258156213,-4.9602609824502,4.66328994479922,-3.33522607722322,89.1169765909969,-0.294359725620955,-0.980940103768327,1.34972297677631,-5.16635317288067,-2.41485972762211,7.69685834058006,4.81499393743517,0.853081036668342,-2.61149039999755,1.00066974930935,0.919951619766167,-3.23760556693452,5.69574259636517,0.0,0.0,0.0,2.19229398766949,-0.677239466711555,4.09588139482744,-0.711172519281311,-1.0597314826573,-0.95155631914562,-0.891812061863507,-1.38780750411035,3.57411556503847,0.0,0.0,0.0
0.15,1.2194830445362,-1.13973711864656,-2.3847838884074,0.494231493931549,-0.553277277510845,-6.8831811406852,0.494174421006292,-0.553328253997656,-1.06274939672402,0.41174898822728,-0.374237589894194,5.04007229218308,-0.973483779783567,1.10183990494466,10.5465847899755,-1.28024543809477,2.41149644626997,-16.4527401987638,-8.50573970606396,10.695908841451,1.56684921663561,6.23674567201777,-3.67016216625044,4.26450110244172,-0.885995103441711,87.7126637610465,-0.189634246316608,-5.45024168206776,-1.22359634255561,-6.18431691914326,-10.8523925625662,7.93466209925217,0.462674239400719,5.04184060676778,-4.93916751498133,4.60708555879042,-3.27613312233104,89.1199831541793,-0.30918644408055,-0.93441760936118,1.37940618048359,-5.08510112363261,-2.40662016039015,7.7001542558792,4.79873584460823,0.893478226379501,-2.67380036416628,1.0811920799315,0.866034394092241,-3.20307985232191,5.74976055820082,0.0,0.0,0.0,2.1647910422371,-0.647508592518658,4.05888701304254,-0.71788644449256,-1.08668936013094,-0.930221637166794,-0.860069754839796,-1.37427668371251,3.591828981134,0.0,0.0,0.0
