time,LTHI_x,LTHI_y,LTHI_z,LKNE_x,LKNE_y,LKNE_z,LTIB_x,LTIB_y,LTIB_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RTHI_x,RTHI_y,RTHI_z,RKNE_x,RKNE_y,RKNE_z,RTIB_x,RTIB_y,RTIB_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,LMT5_x,LMT5_y,LMT5_z,LMT1_x,LMT1_y,LMT1_z,RMT5_x,RMT5_y,RMT5_z,RMT1_x,RMT1_y,RMT1_z,*16_x,*16_y,*16_z,*17_x,*17_y,*17_z,*18_x,*18_y,*18_z,*19_x,*19_y,*19_z,*20_x,*20_y,*20_z,*21_x,*21_y,*21_z,*22_x,*22_y,*22_z
0.0,-0.23396022273689,9.84074318824537,-6.77803390611632,-0.35271651433296825,10.174809953239333,-4.756762283814794,-0.15498006474271264,10.476486582238522,-3.1332399812361587,-0.458655881166699,10.564025642781871,-0.5925684224240086,-0.963700997746713,11.024590818034312,-0.10812433001121136,-0.434296750851793,9.026322430081905,-0.2275779863988312,-3.870623997957466,9.547312408671246,-6.594514012757372,-3.7758772959736575,10.005206685545886,-4.670632219821982,-4.070873322094826,10.442870860333642,-3.1983373308553382,-4.039616303750506,10.481736826261795,-0.6903238523679107,-3.4954006176724874,10.983300535754097,-0.1542804588165776,-4.116536773222606,9.007070721527839,-0.2697473656442604,-0.009446121839148058,9.517248932780717,-0.1183666202791045,-0.8783108324190039,9.009504193153134,-0.23299525693814616,-4.518084310634038,9.456029451727204,-0.1472711339457824,-3.6651302281365474,8.970405683284866,-0.2841395505337516,,,,,,,,,,,,,,,,,,,,,
0.01,-0.2340696091785368,9.84114846167381,-6.777293549687556,-0.35251605199614033,10.1748545089024,-4.756403091928291,-0.15475773465429832,10.477049326366568,-3.1334590974421985,-0.4588098804918701,10.564217293168213,-0.5929402409581783,-0.9637000822193897,11.024589597331214,-0.10812429186423955,-0.43445528966660873,9.02626627773941,-0.2273638865195835,-3.870404576575652,9.547228790509052,-6.594586644591686,-3.7755754771327474,10.005414815424047,-4.671596880444952,-4.070417999839378,10.442983165018632,-3.199013295195698,,,,-3.4958425121938603,10.982341063119293,-0.15443141592074738,-4.116241668248733,9.007682904131343,-0.2696604477690059,-0.008969096936976229,9.517459504065073,-0.11855940553785693,-0.8781499284919363,9.009507244910878,-0.23268123106625893,-4.518082174403617,9.456028231024106,-0.14727238325910896,-3.662565530928248,8.970007734075011,-0.2849439938751459,,,,,,,,,,,,,,,,,,,,,
0.02,-0.23423535777102344,9.841835717517824,-6.777624970578586,-0.35251601384916853,10.1748545089024,-4.756403091928291,-0.15434782636878275,10.477172617379438,-3.1336449494888257,-0.4573291676343416,10.56512671697601,-0.5936606083737175,-0.964190652276784,11.025026609040196,-0.10835512872736608,-0.4341287134409981,9.026487225000096,-0.22768790689808327,-3.870404576575652,9.547228790509052,-6.594586644591686,-3.775604468831318,10.005371480464078,-4.6713875298636935,-4.067742829000736,10.441661143563806,-3.1991686296648822,-4.034667878568143,10.491172861207133,-0.6983482967686285,-3.480047834812524,10.992123777744382,-0.16517234433057126,-4.116351531527528,9.007761029129597,-0.2694997345767973,-0.00944609918938355,9.517248932780717,-0.11836674425676286,-0.8781634325199548,9.009504803504683,-0.2326958795034315,-4.518389181232692,9.456313265197423,-0.14692498832363654,-3.6651302281365474,8.970405683284866,-0.2841395505337516,,,,,,,,,,,,,,,,,,,,,
0.03,-0.23449914408104533,9.841973656967866,-6.777704926631486,-0.3517977826640504,10.175439836037754,-4.7567775426035155,-0.15494657170146908,10.477607187682224,-3.1335573640415646,-0.458655881166699,10.564025642781871,-0.5925684224240086,-0.9637003873951642,11.024590818034312,-0.10812342402063102,-0.4342735956399082,9.026273601957996,-0.2275514742534277,-3.870404576575652,9.547228790509052,-6.594586644591686,-3.775303870693506,10.00549843358624,-4.6711540703962555,-4.067469391506847,10.441825938481998,-3.1997054338521025,-4.035405183239163,10.491904062362664,-0.6996030269651925,-3.4787749466573814,10.992757322652096,-0.16672490700949183,-4.116559356229914,9.00729472054627,-0.2694667565196731,-0.009507923509748495,9.51742410367524,-0.11837960932300362,-0.8794946855419568,9.009671429477521,-0.2319493814122069,-4.518286642172484,9.456130770084314,-0.14749478010472394,-3.662565530928248,8.970007734075011,-0.2849439938751459,,,,,,,,,,,,,,,,,,,,,
0.04,-0.23382281734445343,9.841666039787242,-6.77725387683688,-0.35180194068397697,10.175413590921153,-4.756742142213682,-0.15467776906465502,10.477056650585155,-3.133494192656258,-0.4587750141596416,10.564251472854949,-0.5929868184107505,-0.9641765378972167,11.025022946930903,-0.10834895845467685,-0.43456248265737685,9.026336468167528,-0.22753486124720723,-3.870541905674145,9.547319122538283,-6.5944401602199605,-3.775226356046801,10.005499654289338,-4.671077471276874,-4.067807831440689,10.44207618261703,-3.1983980608344496,-4.0375255445198945,10.48562354492492,-0.6938893735284495,-3.4846111281675576,10.9910458969091,-0.1609082186019073,-4.116434844513947,9.007121380706394,-0.2694135224205212,-0.009117966686532641,9.517249543132266,-0.11856364938847008,-0.8781628221684059,9.009480389442729,-0.23269088225012524,-4.518203329186065,9.456037996648888,-0.1474244752356899,-3.6621224157037773,8.96972514130789,-0.2849512608732745,,,,,,,,,,,,,,,,,,,,,
0.05,-0.23442511988226045,9.841966943100829,-6.77774032702132,-0.3522825162347587,10.175574113378502,-4.756552322881987,-0.1542374957895838,10.477177500191829,-3.133701407007095,-0.4581227772357437,10.564422371288629,-0.5927947484077194,-0.96416074505089,11.025018064118512,-0.1083415674788899,-0.4341604898685105,9.026449993555616,-0.22734015910312166,-3.869885777759123,9.54736367820135,-6.5942771963564155,-3.775144568939254,10.005558858389577,-4.671202288168615,-4.06780722108914,10.442079844726322,-3.1983782244091117,-4.036103730586831,10.488299326115111,-0.6955954586953936,-3.4868877394447964,10.990064451618537,-0.15997054696148894,-4.116211761022839,9.006924847507662,-0.26944293373578176,-0.00941705027035511,9.51746621793211,-0.11904814454060464,-0.8784384721866587,9.009402264444475,-0.23237746672978687,-4.518171590905524,9.455997103095115,-0.1474661221921565,-3.662168497245716,8.969711713573815,-0.2849852879721233,,,,,,,,,,,,,,,,,,,,,
0.06,-0.2333942170427541,9.841798486073344,-6.778047944201944,-0.35200122046467897,10.175430070412972,-4.756329544566654,-0.15453681600384073,10.477065195506839,-3.1335738435333838,-0.4580877964625998,10.564802009952018,-0.5933113346998837,-0.9636636137143455,11.024556638347576,-0.10812161203947035,-0.43469611149960485,9.026327923245844,-0.22718221156636886,-3.8702934925937598,9.547494293432806,-6.593958592847912,-3.775079871675075,10.005497823234691,-4.670926714444306,-4.067523102443147,10.442229991207341,-3.1989125871901365,-4.037903352128637,10.485309824228807,-0.6936431729724291,-3.4846807082441273,10.990760252384234,-0.1603370630665779,-4.116539214628801,9.006901043797257,-0.27003850333306545,-0.009156513009447309,9.517577912265551,-0.11872641298041309,-0.8781196397963242,9.009460247841616,-0.23264096693752023,-4.517842916596464,9.455745027905436,-0.14677324920654478,-3.6649025670088236,8.970431318049918,-0.2843776639317497,,,,,,,,,,,,,,,,,,,,,
0.07,-0.2344202942903273,9.842289819070174,-6.7772404491028055,-0.35159068275412864,10.175389787210747,-4.756659134403037,-0.1542121089798485,10.477164072457754,-3.133722158959756,-0.4579875080737281,10.564853279482122,-0.593411317912981,-0.9641497587230106,11.025004636384438,-0.10834686037122765,-0.4343776224320166,9.026510418358953,-0.22734939067029813,-3.869912328051498,9.547421661598491,-6.594094701243307,-3.774999305270626,10.005479512688225,-4.670883379484337,-4.067534088771026,10.442238536129025,-3.1988750505698818,-4.034694734036293,10.49143042956075,-0.6997044216162465,-3.4798931106948885,10.991224119561366,-0.1653032075173435,-4.11652670242205,9.007026776216321,-0.26972253196561624,-0.008722712798653998,9.517718293121789,-0.11872841569643278,-0.8790144151669494,9.009603070104049,-0.23221782165278881,-4.517725118747535,9.455399568928783,-0.14775524762819892,-3.6626454869811482,8.970001630559523,-0.28500468570728543,,,,,,,,,,,,,,,,,,,,,
0.08,-0.23376159145470865,9.841886987047928,-6.777880097526008,-0.35196303534590356,10.175273820416464,-4.756501968879206,-0.1542793716278812,10.476607431845196,-3.133576284939579,-0.45868536877590316,10.564336922071789,-0.593132196520294,-0.9641200040850038,11.025018064118512,-0.10831036325595456,-0.4345850275177128,9.026559246482861,-0.22681991070166418,-3.8699260609613475,9.547450958472837,-6.5940031485109785,-3.775436316979608,10.006268697240898,-4.671038713953521,-4.0690373846358625,10.44400977632381,-3.197884450006086,-4.034202180336365,10.494399179494394,-0.7025668940864449,-3.478776777712028,10.993881590205092,-0.16541724788955037,-4.116523040312757,9.006833905126882,-0.2699924980850703,-0.009048818147581406,9.51768045132576,-0.11874499055568144,-0.8780763048363553,9.009484051552022,-0.23256270842486515,-4.518210348228877,9.456094759342932,-0.14688011794805256,-3.6625731603226086,8.9700675485268,-0.2852173932220623,,,,,,,,,,,,,,,,,,,,,
0.09,-0.23343707516557544,9.841722802481286,-6.778282929548254,-0.35252982305296143,10.174895402456173,-4.75573872426736,-0.15399073256572926,10.477193369332099,-3.1338304963596784,-0.45799502302717343,10.564772713077673,-0.5934663639932936,-0.9640930723229104,11.025016843415415,-0.10829059358781734,-0.43468100529877063,9.026322430081905,-0.2269334742367235,-3.8705013172961458,9.548324371539252,-6.594044042064752,-3.775422889245533,10.006274190404838,-4.671037493250424,-4.0665990301981765,10.44295753025358,-3.1984957170822668,-4.034604707182837,10.491855234238756,-0.7004111324158799,-3.479098432978276,10.992259275788228,-0.1656699334307774,-4.116583770291868,9.007060345551508,-0.2697910248534896,-0.009427789835010691,9.517597443515115,-0.11904485436428658,-0.8784279436224409,9.009352825969017,-0.232344812921923,-4.517475484964052,9.45532144393053,-0.1478159108501096,-3.662606119306247,8.970032148136966,-0.28500083286313327,,,,,,,,,,,,,,,,,,,,,
