time,l_thi_x,l_thi_y,l_thi_z,l_kne_x,l_kne_y,l_kne_z,l_tib_x,l_tib_y,l_tib_z,l_ank_x,l_ank_y,l_ank_z,l_hee_x,l_hee_y,l_hee_z,l_toe_x,l_toe_y,l_toe_z,r_thi_x,r_thi_y,r_thi_z,r_kne_x,r_kne_y,r_kne_z,r_tib_x,r_tib_y,r_tib_z,r_hee_x,r_hee_y,r_hee_z,r_toe_x,r_toe_y,r_toe_z,l_mt5_x,l_mt5_y,l_mt5_z,l_mt1_x,l_mt1_y,l_mt1_z,r_mt5_x,r_mt5_y,r_mt5_z,r_mt1_x,r_mt1_y,r_mt1_z,r_ank_x,r_ank_y,r_ank_z
0.0,0.14807020568847656,-1.0528902587890625,0.6812649536132812,0.15751730346679688,-1.0842727050781251,0.4779313354492188,0.1365938720703125,-1.114429931640625,0.3152747497558594,0.16318179321289064,-1.1221397705078124,0.06034672546386719,0.21289064025878907,-1.1685875244140624,0.012499127388000488,0.16292236328125,-0.9678674926757813,0.02338645362854004,0.51479638671875,-1.0141401977539062,0.6592553100585937,0.5047611694335937,-1.0527254638671875,0.46416104125976565,0.53153955078125,-1.1013580322265626,0.3155050048828125,0.4645874633789063,-1.1743092041015626,0.017338481903076172,0.5292623901367187,-0.9776444702148438,0.027130193710327148,0.11995230865478516,-1.0161859130859374,0.013844167709350586,0.20681651306152343,-0.9672129516601563,0.024014232635498046,0.568459716796875,-1.023347900390625,0.016185789108276366,0.4838825988769531,-0.9724196166992187,0.02768791389465332,,,
0.01,0.14797259521484377,-1.0529527587890626,0.6813118896484375,0.1571506042480469,-1.0844571533203125,0.47808099365234374,0.13645648193359375,-1.114482177734375,0.31531863403320315,0.16322935485839843,-1.12210498046875,0.06033137512207031,0.21291775512695313,-1.168621337890625,0.01243667984008789,0.16294906616210938,-0.9678665161132812,0.02334239387512207,0.5146513061523438,-1.0142244873046875,0.6591746826171875,0.5046770324707032,-1.0527611083984376,0.46426260375976564,0.5315587768554687,-1.101384033203125,0.3154606323242188,0.46458740234375,-1.1743089599609375,0.017338571548461915,0.5292700805664062,-0.9776338500976562,0.027077234268188477,0.11996430969238281,-1.0161922607421876,0.013839037895202636,0.20708868408203127,-0.967125,0.024093618392944337,0.5684788818359375,-1.0233521728515624,0.016242761611938477,0.48369305419921876,-0.9724014892578126,0.02780384635925293,,,
0.02,0.14780740356445313,-1.052972412109375,0.6813698120117188,0.15706103515625,-1.0845260009765625,0.4781378784179688,0.13645646667480468,-1.114482177734375,0.3153186645507813,0.1631448974609375,-1.122197021484375,0.060403270721435545,0.2129083251953125,-1.1686221923828126,0.01254117774963379,0.1629525146484375,-0.9678607788085938,0.02341324043273926,0.5146029663085938,-1.0142818603515624,0.6592462768554688,0.5046770324707032,-1.0527611083984376,0.46426260375976564,0.5314900512695313,-1.1012974853515625,0.31545074462890627,0.46464105224609376,-1.1742341308593751,0.017380353927612304,0.5292459716796876,-0.9776297607421875,0.02708692741394043,0.11995429992675781,-1.016196533203125,0.01385110092163086,0.2069181671142578,-0.9672296142578125,0.024023305892944335,0.5685315551757812,-1.0233336791992187,0.01623695755004883,0.48361294555664064,-0.9723912963867187,0.027810592651367188,,,
0.03,0.14770977783203126,-1.0530347900390624,0.6814176635742187,0.15693167114257814,-1.084591796875,0.47816128540039066,0.13633787536621095,-1.114554443359375,0.3153325805664063,0.16313751220703127,-1.1221719970703126,0.06036061477661133,0.21287707519531252,-1.16860791015625,0.012548872947692871,0.16294735717773437,-0.9678565063476563,0.02338072395324707,0.514476318359375,-1.0143641357421875,0.6592915649414063,0.5045547180175781,-1.05284814453125,0.4642893676757813,0.5314082641601563,-1.1013575439453125,0.3154375915527344,0.4645858764648438,-1.1743209228515625,0.017383232116699218,0.5293015136718751,-0.9776253051757813,0.027045846939086914,0.11999919128417968,-1.0161705322265626,0.013824604988098144,0.20692889404296874,-0.9671828002929688,0.023987220764160155,0.5685318603515626,-1.0233729248046874,0.01614811897277832,0.48358151245117187,-0.9723636474609375,0.02781199073791504,,,
0.04,0.14764469909667968,-1.053108642578125,0.681399658203125,0.15696559143066408,-1.084627685546875,0.47815863037109374,0.1363811492919922,-1.1145668945312501,0.31529013061523437,0.16308053588867188,-1.1221160888671875,0.06037899398803711,0.21328504943847656,-1.1684091796875,0.012865906715393066,0.16294187927246095,-0.9678658447265626,0.023409944534301758,0.51436328125,-1.0144414672851563,0.659231689453125,0.5045553894042969,-1.0528465576171875,0.46428445434570315,0.5314017944335938,-1.101352294921875,0.3154435119628906,0.46457504272460937,-1.174211181640625,0.0174902286529541,0.5293081665039062,-0.9776223754882812,0.027046730041503906,0.11998105621337891,-1.0164052124023437,0.01400692081451416,0.20683412170410156,-0.9671963500976563,0.024027572631835938,0.5685103759765625,-1.0233432006835939,0.01618661689758301,0.48357928466796873,-0.9723656616210937,0.027811452865600588,,,
0.05,0.14745553588867188,-1.0531390380859376,0.6814058837890625,0.15690184020996095,-1.084639892578125,0.47816513061523436,0.13624888610839844,-1.11462841796875,0.31536993408203123,0.16306521606445312,-1.122134765625,0.06039104461669922,0.21332745361328126,-1.168316650390625,0.012842792510986328,0.16297354125976563,-0.9678560180664063,0.023370458602905275,0.5142661743164063,-1.0144172973632812,0.6592857055664063,0.5044630126953125,-1.0529384765625,0.46428689575195314,0.5313507080078125,-1.101351806640625,0.31552273559570315,0.464599853515625,-1.17416064453125,0.017383188247680665,0.5293656616210938,-0.9776127319335938,0.027091617584228515,0.11996758270263672,-1.0162314453125,0.01386509132385254,0.20752442932128906,-0.9666337280273438,0.024336559295654297,0.5686062622070313,-1.0233760986328124,0.01619394111633301,0.4836104736328125,-0.9723532104492187,0.0278479118347168,,,
0.06,0.1474034881591797,-1.0531396484375,0.6814238891601563,0.15693026733398438,-1.0846810302734375,0.47815957641601564,0.1356379089355469,-1.1113353271484374,0.3162274475097656,0.16314340209960937,-1.122217041015625,0.060453277587890625,0.2133577117919922,-1.168352783203125,0.01286423397064209,0.162912841796875,-0.96786279296875,0.023404579162597656,0.5140985717773437,-1.0144832153320313,0.6593433837890625,0.5044068298339844,-1.053006103515625,0.46424380493164064,0.5314207153320313,-1.1014044189453125,0.31543664550781253,0.4645449829101563,-1.1742225341796875,0.01751958465576172,0.5292648315429688,-0.9775808105468751,0.027044103622436522,0.11997930145263672,-1.0164052124023437,0.014004235267639161,0.2068848571777344,-0.9672182006835938,0.02406758689880371,0.5685985107421875,-1.0233685302734374,0.016204204559326172,0.48362271118164063,-0.9723601074218751,0.02777423667907715,,,
0.07,0.1473842315673828,-1.0532274169921876,0.6814054565429688,0.15680990600585937,-1.084768798828125,0.47820947265625,0.1360862731933594,-1.11466162109375,0.31549554443359373,0.1630846405029297,-1.1222181396484374,0.060488998413085936,0.21294424438476564,-1.1685914306640626,0.012620705604553223,0.16292695617675781,-0.9678209228515625,0.02339418411254883,0.5140211181640625,-1.0145953369140626,0.6592247314453125,0.5043449096679687,-1.052903076171875,0.4642496643066406,0.53134521484375,-1.1013109130859375,0.31543420410156253,0.46447857666015624,-1.1742506103515624,0.017559560775756836,0.529258544921875,-0.9775816040039063,0.02705711364746094,0.11995425415039063,-1.0164635009765626,0.014039480209350585,0.20723045349121094,-0.9669764404296876,0.02416744422912598,0.5686065063476563,-1.0233369750976562,0.01620877265930176,0.48364523315429686,-0.9723479614257813,0.02776015853881836,,,
0.08,0.14728077697753905,-1.0532093505859375,0.6814253540039062,0.1567356719970703,-1.0848388671875,0.4782249450683594,0.13600698852539062,-1.11465283203125,0.3156639404296875,0.16314828491210936,-1.12216650390625,0.06047291946411133,0.21295492553710937,-1.16858447265625,0.01262807846069336,0.16297857666015625,-0.967893310546875,0.02341458320617676,0.513896240234375,-1.0145740356445312,0.6592017822265626,0.5042294616699219,-1.05299462890625,0.46425881958007814,0.5312045288085938,-1.101360595703125,0.31551184082031253,0.4642881164550781,-1.174303466796875,0.017603187561035155,0.5293215942382813,-0.9775930786132813,0.02710932540893555,0.11998748016357422,-1.0162528686523438,0.013934648513793946,0.20752993774414064,-0.9666265258789063,0.024356103897094725,0.5685587768554687,-1.0233247680664064,0.016248437881469728,0.48373233032226565,-0.9723786010742188,0.027705211639404297,,,
0.09,0.14721507263183595,-1.05317138671875,0.6814338378906251,0.15686865234375,-1.0847850341796874,0.4781762390136719,0.1360038299560547,-1.1146292724609375,0.31569656372070315,0.16310610961914063,-1.1222027587890626,0.06049642562866211,0.21332455444335938,-1.1683206787109375,0.012837218284606934,0.16297677612304687,-0.9678377075195312,0.02335511589050293,0.5138342895507813,-1.0145665893554687,0.6593075561523437,0.5041900024414062,-1.0529945068359374,0.4643487243652344,0.5312335205078125,-1.101400146484375,0.3154492492675781,0.46438104248046874,-1.1741690673828125,0.017578874588012695,0.5293504638671875,-0.977605224609375,0.027050964355468752,0.11992472076416016,-1.0163350830078126,0.013929858207702636,0.20710220336914062,-0.9669602661132812,0.024199445724487303,0.5686095581054688,-1.0233029785156251,0.016258955001831055,0.4836105651855469,-0.972352783203125,0.02780279541015625,,,
