time,l_thi_x,l_thi_y,l_thi_z,l_kne_x,l_kne_y,l_kne_z,l_tib_x,l_tib_y,l_tib_z,l_ank_x,l_ank_y,l_ank_z,l_hee_x,l_hee_y,l_hee_z,l_toe_x,l_toe_y,l_toe_z,r_thi_x,r_thi_y,r_thi_z,r_kne_x,r_kne_y,r_kne_z,r_tib_x,r_tib_y,r_tib_z,r_ank_x,r_ank_y,r_ank_z,r_hee_x,r_hee_y,r_hee_z,r_toe_x,r_toe_y,r_toe_z,l_mt5_x,l_mt5_y,l_mt5_z,l_mt1_x,l_mt1_y,l_mt1_z,r_mt5_x,r_mt5_y,r_mt5_z,r_mt1_x,r_mt1_y,r_mt1_z
0.0,0.14816577148437501,-1.0789539794921876,0.6797841796875,0.16150862121582032,-1.11124755859375,0.4766314697265625,0.1447894744873047,-1.14052587890625,0.3133702697753906,0.1807403106689453,-1.1487498779296874,0.05871956253051758,0.231217529296875,-1.195994873046875,0.011683324813842773,0.18732701110839844,-0.9943000488281251,0.02343251419067383,0.500693115234375,-1.0481077880859375,0.6598330688476562,0.4860301513671875,-1.0933685302734375,0.46601080322265626,0.5080464477539063,-1.1386734619140626,0.3171567993164063,0.49304779052734377,-1.1444923095703126,0.06913536071777344,0.4360955200195313,-1.192424072265625,0.016604984283447265,0.51844287109375,-1.0024989013671874,0.026601144790649414,0.14276889038085938,-1.0415516357421875,0.012698305130004884,0.23134954833984375,-0.9949439086914063,0.0244952392578125,0.5526583251953125,-1.0517714843750001,0.015682363510131837,0.4735022277832031,-0.9933627929687501,0.027727909088134765
0.01,0.1481417236328125,-1.0789110107421875,0.67976416015625,0.16147154235839845,-1.1112630615234376,0.4766536254882813,0.14483016967773438,-1.1404468994140626,0.31339550781250003,0.18073898315429687,-1.1487786865234375,0.05876433944702149,0.2312175750732422,-1.195994873046875,0.011683358192443849,0.18731320190429687,-0.99431298828125,0.023385486602783202,0.5006931457519531,-1.04810791015625,0.6598328247070313,0.4860358581542969,-1.09337158203125,0.46599771118164063,0.5080544128417969,-1.1386512451171875,0.3171986083984375,0.4931796875,-1.1445982666015626,0.06909141540527344,0.43610455322265623,-1.1924603271484375,0.016538900375366213,0.51848779296875,-1.0025107421875,0.026619235992431642,0.14280012512207033,-1.0414981689453124,0.01267020320892334,0.23124945068359376,-0.9948631591796875,0.024547677993774414,0.5528074340820313,-1.0518375244140625,0.015627212524414062,0.4735022277832031,-0.9933627929687501,0.027727909088134765
0.02,0.14805873107910156,-1.0789135742187501,0.6798181762695312,0.16150723266601563,-1.1112496337890625,0.47664117431640624,0.1448128204345703,-1.1404541015625,0.3133630065917969,0.1807528839111328,-1.14876953125,0.05875710678100586,0.231217529296875,-1.195994873046875,0.011683324813842773,0.18734359741210938,-0.9942544555664062,0.023425838470458985,0.5006931457519531,-1.04810791015625,0.6598328247070313,0.48569192504882813,-1.093202880859375,0.465961669921875,0.5080845336914063,-1.1386751708984375,0.3171595153808594,0.493114990234375,-1.144513427734375,0.06908612060546875,0.43623367309570316,-1.192461181640625,0.01650062942504883,0.5184744262695312,-1.0025255737304688,0.026612224578857424,0.14277076721191406,-1.041554443359375,0.012698975563049317,0.23121493530273438,-0.9948760986328126,0.024574838638305663,0.5528685302734375,-1.051864990234375,0.01561091423034668,0.4734503784179688,-0.9933549194335938,0.027779283523559573
0.03,0.14810972595214844,-1.078916748046875,0.6797691040039062,0.16153831481933595,-1.11118994140625,0.4766064453125,0.14487030029296874,-1.1404317626953124,0.3133562927246094,0.18070361328125,-1.14880615234375,0.05877414703369141,0.23124652099609375,-1.1960347900390624,0.01170020580291748,0.18735296630859374,-0.994310546875,0.023382040023803712,0.5007164306640625,-1.0480966796875,0.6597693481445313,0.48602520751953127,-1.093365966796875,0.4659855651855469,0.5080843200683594,-1.1386748046875,0.31715994262695313,0.4931549682617188,-1.1445379638671875,0.0691933822631836,0.43612979125976564,-1.1924144287109375,0.016616954803466796,0.51846533203125,-1.0025765991210938,0.026651077270507813,0.14281089782714845,-1.0415286865234374,0.012618475914001465,0.23126849365234375,-0.9948580932617188,0.024578615188598635,0.552677001953125,-1.051777099609375,0.015706906318664553,0.4734556884765625,-0.9933832397460938,0.027732500076293947
0.04,0.1482039337158203,-1.0788497314453125,0.6797169189453125,0.16153254699707031,-1.1111915283203124,0.4765956420898438,0.1448656768798828,-1.1404278564453125,0.313385009765625,0.18072491455078124,-1.148721923828125,0.05869256591796875,0.231215576171875,-1.19599609375,0.01168046760559082,0.18733389282226562,-0.9942992553710938,0.023437973022460937,0.5007154235839844,-1.0480927734375,0.6597764892578125,0.4859651794433594,-1.0933558349609376,0.46607156372070313,0.5080527038574219,-1.1386494140625,0.3171969909667969,0.4931414489746094,-1.144449462890625,0.06911255645751953,0.4361460266113281,-1.1924256591796876,0.016544376373291016,0.5184783935546875,-1.0025164794921875,0.026613128662109374,0.14281288146972657,-1.0415262451171876,0.012604790687561035,0.2314445037841797,-0.9948829345703125,0.02451984977722168,0.5526536865234375,-1.0517764892578125,0.015697101593017578,0.4734035949707031,-0.99337548828125,0.027783164978027346
0.05,0.14810420227050783,-1.07880224609375,0.6797341308593751,0.16153271484375,-1.11119189453125,0.4766207580566406,0.14486160278320312,-1.1404227294921876,0.31340182495117186,0.18074687194824218,-1.1487698974609375,0.05876226043701172,0.23124714660644533,-1.1959566650390625,0.011738133430480958,0.18734384155273437,-0.9942973022460938,0.023439300537109374,0.500771240234375,-1.04802734375,0.6597962036132813,0.48570046997070315,-1.0932095947265625,0.46593017578125,0.5080833129882812,-1.13867333984375,0.31715374755859377,0.49305874633789065,-1.1444515380859375,0.06921804809570313,0.43624789428710936,-1.1924244384765625,0.016512651443481446,0.5184841308593751,-1.0024942626953126,0.02660862159729004,0.14279110717773438,-1.0414996337890625,0.012677760124206544,0.23130830383300782,-0.99492724609375,0.024496097564697266,0.5526630859375,-1.0517838134765625,0.01569499683380127,0.47351004028320315,-0.9933660888671875,0.02776581573486328
0.06,0.14815518188476562,-1.0788134765625,0.6798342895507813,0.1615412139892578,-1.1111806640625,0.47663043212890627,0.14486439514160157,-1.1403472900390625,0.3133855285644531,0.1806844940185547,-1.1487821044921875,0.05874016189575196,0.2312342529296875,-1.195958984375,0.011721100807189942,0.18728627014160157,-0.994297607421875,0.023401718139648437,0.5007695617675781,-1.0480235595703125,0.659804931640625,0.4856599426269531,-1.0932073974609375,0.46603057861328123,0.5080823669433594,-1.1386719970703125,0.31715289306640626,0.4931244506835938,-1.1444737548828126,0.06906097412109376,0.4362594909667969,-1.1924044189453125,0.016503866195678712,0.5184444580078125,-1.0025096435546874,0.026649360656738282,0.1427991943359375,-1.041509765625,0.01270198631286621,0.23115277099609374,-0.9949246215820313,0.024562246322631837,0.5528748779296875,-1.05205322265625,0.016055177688598633,0.4734047546386719,-0.9933778076171875,0.027784576416015627
0.07,0.14808213806152343,-1.0787147216796875,0.6798023071289062,0.16148416137695312,-1.1110953369140626,0.4765867919921875,0.1448644561767578,-1.1403577880859375,0.31338525390625,0.18071856689453125,-1.1487490234375,0.05873481750488281,0.23124072265625,-1.1959603271484376,0.01172890567779541,0.1873616180419922,-0.9942489624023437,0.023433013916015627,0.5007422180175781,-1.0480294189453125,0.6598777465820312,0.48599014282226566,-1.0933690185546876,0.4659227600097656,0.50804638671875,-1.1386419677734376,0.31719744873046873,0.4931092834472656,-1.144559814453125,0.06917935180664063,0.4361868896484375,-1.1923487548828124,0.016540218353271484,0.5185076293945312,-1.002513427734375,0.02662713623046875,0.14280484008789063,-1.0414991455078124,0.012685688018798828,0.23126814270019533,-0.9948380737304687,0.024584407806396483,0.5528421630859375,-1.0518505859375,0.0156685209274292,0.4735019836425781,-0.9933701782226563,0.02772796058654785
0.08,0.14809713745117187,-1.0787093505859375,0.6798214111328125,0.1615029754638672,-1.1110933837890624,0.4766431579589844,0.14487161254882813,-1.1403070068359376,0.313383544921875,0.18068930053710938,-1.1487022705078125,0.058730239868164065,0.23120669555664064,-1.19598046875,0.011775523185729981,0.18730906677246095,-0.9943023681640625,0.023382617950439454,0.5007662353515625,-1.0480159912109375,0.659818603515625,0.4857215881347656,-1.09322314453125,0.46587405395507814,0.5080442504882813,-1.138639404296875,0.3171971740722656,0.4931718139648438,-1.1445787353515626,0.06911833953857421,0.4363114929199219,-1.1924189453125,0.016635269165039063,0.5184861450195313,-1.002495849609375,0.02661617851257324,0.1427965087890625,-1.0415306396484376,0.012626394271850586,0.23124224853515626,-0.9949064331054688,0.024497236251831055,0.5528847045898437,-1.05185693359375,0.01564134407043457,0.4734588317871094,-0.9933618774414062,0.02781732940673828
0.09,0.14809783935546875,-1.078706787109375,0.6798709106445313,0.1615521697998047,-1.111024169921875,0.47659429931640623,0.14488018798828126,-1.1402508544921874,0.313343994140625,0.1806570281982422,-1.1486462402343751,0.05884113311767578,0.23121762084960937,-1.1959648437500001,0.011740922927856445,0.18733647155761718,-0.9942297363281251,0.02345661926269531,0.5007355041503906,-1.047950439453125,0.6597649536132812,0.48591030883789066,-1.09327685546875,0.46590139770507816,0.5080908813476562,-1.1384814453125,0.31713052368164063,0.49303118896484377,-1.144422607421875,0.06925426483154297,0.4362779235839844,-1.1922951660156251,0.016542301177978516,0.5184436645507813,-1.0024522705078125,0.02656726837158203,0.1427903289794922,-1.0415128173828125,0.012705039024353028,0.23141685485839844,-0.9948839111328125,0.024516969680786132,0.5528679809570313,-1.0520491943359376,0.016057350158691405,0.4734526062011719,-0.993359130859375,0.02778055191040039
