time,l_thi_x,l_thi_y,l_thi_z,l_kne_x,l_kne_y,l_kne_z,l_tib_x,l_tib_y,l_tib_z,l_ank_x,l_ank_y,l_ank_z,l_hee_x,l_hee_y,l_hee_z,l_toe_x,l_toe_y,l_toe_z,r_thi_x,r_thi_y,r_thi_z,r_kne_x,r_kne_y,r_kne_z,r_tib_x,r_tib_y,r_tib_z,r_ank_x,r_ank_y,r_ank_z,r_hee_x,r_hee_y,r_hee_z,r_toe_x,r_toe_y,r_toe_z,l_mt5_x,l_mt5_y,l_mt5_z,l_mt1_x,l_mt1_y,l_mt1_z,r_mt5_x,r_mt5_y,r_mt5_z,r_mt1_x,r_mt1_y,r_mt1_z
0.0,0.02339602279663086,-0.9840743408203125,0.6778034057617187,0.03527165222167969,-1.0174810180664062,0.4756762390136719,0.01549800682067871,-1.047648681640625,0.31332400512695313,0.04586558914184571,-1.056402587890625,0.059256843566894535,0.09637010192871094,-1.1024591064453124,0.010812433242797851,0.0434296760559082,-0.9026322631835938,0.02275779914855957,0.38706240844726564,-0.9547312622070313,0.659451416015625,0.3775877380371094,-1.0005206909179687,0.46706323242187503,0.40708734130859375,-1.044287109375,0.319833740234375,0.40396163940429686,-1.0481737060546876,0.06903238677978515,0.3495400695800781,-1.098330078125,0.015428046226501466,0.41165368652343753,-0.9007070922851562,0.0269747371673584,0.0009446122050285339,-0.9517249145507812,0.011836662292480468,0.08783108520507812,-0.900950439453125,0.02329952621459961,0.4518084411621094,-0.9456029663085938,0.014727113723754882,0.36651303100585936,-0.8970405883789063,0.02841395568847656
0.01,0.023406961441040038,-0.9841148681640626,0.6777293701171875,0.035251605987548826,-1.0174854736328125,0.4756403198242188,0.015475773811340332,-1.0477049560546876,0.3133459167480469,0.04588098907470703,-1.0564217529296875,0.05929402542114258,0.09637001037597656,-1.1024589843750001,0.010812429428100586,0.04344552993774414,-0.9026266479492188,0.022736389160156252,0.38704046630859373,-0.954722900390625,0.6594586791992187,0.37755755615234377,-1.00054150390625,0.46715969848632816,0.40704180908203125,-1.04429833984375,0.3199013366699219,,,,0.3495842590332031,-1.098234130859375,0.01544314193725586,0.41162417602539064,-0.900768310546875,0.026966045379638672,0.0008969097137451172,-0.9517459716796876,0.01185594081878662,0.08781499481201172,-0.9009507446289062,0.023268123626708985,0.4518082275390625,-0.9456028442382812,0.014727238655090333,0.3662565612792969,-0.8970007934570313,0.028494400024414064
0.02,0.02342353630065918,-0.98418359375,0.6777625122070312,0.035251602172851566,-1.0174854736328125,0.4756403198242188,0.015434782981872558,-1.04771728515625,0.313364501953125,0.045732917785644533,-1.0565126953125,0.05936606216430664,0.0964190673828125,-1.102502685546875,0.0108355131149292,0.04341287231445313,-0.9026487426757813,0.02276879119873047,0.38704046630859373,-0.954722900390625,0.6594586791992187,0.3775604553222656,-1.0005371704101562,0.46713876342773436,0.4067742919921875,-1.0441661376953124,0.3199168701171875,0.40346679687500003,-1.0491173095703126,0.06983483123779297,0.34800479125976563,-1.09921240234375,0.016517234802246095,0.41163516235351566,-0.900776123046875,0.026949974060058595,0.0009446099400520325,-0.9517249145507812,0.011836674690246582,0.08781634521484376,-0.9009505004882813,0.023269588470458985,0.45183892822265626,-0.94563134765625,0.014692499160766603,0.36651303100585936,-0.8970405883789063,0.02841395568847656
0.03,0.023449914932250977,-0.9841973876953125,0.6777705078125,0.035179779052734374,-1.0175440063476562,0.4756777648925781,0.015494657516479493,-1.0477607421875,0.31335574340820316,0.04586558914184571,-1.056402587890625,0.059256843566894535,0.09637004089355469,-1.1024591064453124,0.010812342643737793,0.04342736053466797,-0.9026273803710938,0.02275514793395996,0.38704046630859373,-0.954722900390625,0.6594586791992187,0.37753039550781253,-1.0005498657226564,0.46711541748046875,0.4067469482421875,-1.0441826171875,0.3199705505371094,0.40354052734375,-1.0491904296875,0.0699603042602539,0.34787750244140625,-1.0992757568359375,0.016672491073608398,0.41165594482421874,-0.9007294921875,0.02694667625427246,0.000950792372226715,-0.951742431640625,0.011837961196899414,0.08794947052001953,-0.9009671630859375,0.023194938659667968,0.4518286743164063,-0.9456130981445313,0.014749478340148926,0.3662565612792969,-0.8970007934570313,0.028494400024414064
0.04,0.02338228225708008,-0.9841666259765626,0.6777254028320313,0.03518019485473633,-1.0175413818359376,0.4756742248535156,0.015467777252197267,-1.0477056884765625,0.3133494262695313,0.04587750244140625,-1.0564251708984376,0.059298683166503906,0.09641765594482422,-1.1025023193359376,0.010834896087646484,0.04345624923706055,-0.9026336669921875,0.022753486633300783,0.38705419921875,-0.95473193359375,0.6594440307617188,0.37752264404296876,-1.0005499877929687,0.46710775756835937,0.4067807922363281,-1.0442076416015624,0.3198398132324219,0.4037525634765625,-1.0485623779296875,0.0693889389038086,0.34846112060546874,-1.0991046142578125,0.016090822219848634,0.41164349365234376,-0.900712158203125,0.02694135284423828,0.0009117966890335083,-0.9517249755859375,0.011856365203857423,0.0878162841796875,-0.9009480590820312,0.023269088745117187,0.4518203430175781,-0.9456038208007813,0.01474244785308838,0.36621224975585936,-0.8969725341796875,0.028495126724243165
0.05,0.023442512512207032,-0.9841967163085937,0.6777740478515625,0.03522825241088867,-1.0175574340820313,0.4756552429199219,0.015423749923706055,-1.0477177734375,0.31337014770507815,0.045812278747558596,-1.0564422607421875,0.059279476165771484,0.09641607666015625,-1.1025018310546875,0.01083415699005127,0.04341604995727539,-0.90264501953125,0.022734016418457032,0.38698858642578127,-0.9547363891601562,0.659427734375,0.37751446533203126,-1.000555908203125,0.4671202392578125,0.40678073120117186,-1.0442080078125,0.31983782958984375,0.40361038208007816,-1.0488299560546874,0.0695595474243164,0.3486887817382813,-1.0990064697265625,0.015997055053710938,0.4116211853027344,-0.9006925048828125,0.026944293975830078,0.000941705048084259,-0.9517466430664062,0.01190481472015381,0.08784384918212891,-0.9009402465820313,0.023237747192382814,0.45181716918945314,-0.9455997314453125,0.014746612548828125,0.36621685791015623,-0.89697119140625,0.0284985294342041
0.06,0.023339422225952148,-0.9841798706054687,0.6778048095703125,0.035200122833251954,-1.0175430297851562,0.47563296508789066,0.015453681945800782,-1.04770654296875,0.31335739135742186,0.04580878067016601,-1.056480224609375,0.059331134796142576,0.09636636352539063,-1.1024556884765626,0.010812161445617675,0.043469612121582034,-0.9026328125,0.02271822166442871,0.38702935791015625,-0.9547494506835937,0.6593958740234375,0.37750799560546877,-1.0005498046875,0.46709268188476566,0.40675231933593753,-1.0442230224609375,0.31989126586914063,0.40379034423828125,-1.048531005859375,0.06936431884765625,0.3484680786132813,-1.0990760498046874,0.016033706665039064,0.41165393066406253,-0.9006901245117188,0.02700385093688965,0.0009156513214111328,-0.9517578125,0.011872641563415528,0.08781196594238282,-0.900946044921875,0.023264097213745116,0.45178430175781253,-0.9455745239257812,0.014677325248718263,0.36649026489257813,-0.8970431518554688,0.028437767028808594
0.07,0.02344202995300293,-0.98422900390625,0.6777240600585938,0.035159069061279295,-1.0175390014648438,0.47566592407226566,0.015421211242675781,-1.0477164306640625,0.31337222290039063,0.04579875183105469,-1.0564853515625001,0.05934113311767578,0.09641497802734375,-1.10250048828125,0.010834686279296875,0.04343776321411133,-0.9026510620117187,0.022734939575195314,0.3869912414550781,-0.9547421875000001,0.6594094848632812,0.37749993896484374,-1.0005479736328124,0.46708834838867186,0.40675341796875003,-1.0442238769531251,0.31988751220703127,0.403469482421875,-1.04914306640625,0.06997044372558595,0.34798931884765627,-1.0991224365234376,0.01653032112121582,0.41165267944335937,-0.9007026977539063,0.02697225379943848,0.0008722712993621826,-0.9517718505859375,0.011872841835021974,0.08790144348144531,-0.9009603271484375,0.023221782684326172,0.45177252197265627,-0.9455399780273438,0.014775525093078614,0.3662645568847656,-0.8970001831054688,0.02850046920776367
0.08,0.02337615966796875,-0.984188720703125,0.6777880249023438,0.03519630432128906,-1.0175274047851564,0.47565020751953124,0.015427937507629394,-1.0476607666015625,0.3133576354980469,0.04586853790283203,-1.0564337158203125,0.0593132209777832,0.09641200256347657,-1.1025018310546875,0.010831036567687989,0.04345850372314453,-0.9026559448242187,0.02268199157714844,0.38699261474609375,-0.9547451171875,0.6594003295898437,0.37754364013671876,-1.0006268920898438,0.4671038818359375,0.40690374755859376,-1.0444010009765625,0.3197884521484375,0.40342022705078123,-1.04943994140625,0.0702566909790039,0.347877685546875,-1.09938818359375,0.016541725158691407,0.4116523132324219,-0.9006834106445313,0.026999250411987304,0.0009048818349838257,-0.95176806640625,0.011874499320983887,0.08780763244628906,-0.9009484252929688,0.023256271362304688,0.451821044921875,-0.9456094970703125,0.014688012123107911,0.36625732421875,-0.8970067749023438,0.028521739959716796
0.09,0.02334370803833008,-0.9841723022460938,0.6778283081054688,0.03525298309326172,-1.0174895629882812,0.4755738830566406,0.015399073600769043,-1.0477193603515624,0.313383056640625,0.04579950332641602,-1.056477294921875,0.05934663772583008,0.09640930938720703,-1.102501708984375,0.010829059600830079,0.043468101501464844,-0.9026322631835938,0.022693347930908204,0.3870501403808594,-0.9548324584960938,0.6594044189453125,0.37754229736328127,-1.00062744140625,0.467103759765625,0.406659912109375,-1.0442957763671876,0.3198495788574219,0.40346047973632815,-1.049185546875,0.0700411148071289,0.34790985107421873,-1.0992259521484375,0.016566993713378907,0.41165838623046874,-0.9007060546875,0.026979103088378906,0.000942779004573822,-0.951759765625,0.011904485702514648,0.08784279632568359,-0.900935302734375,0.023234481811523437,0.45174755859375,-0.9455321655273438,0.014781591415405275,0.3662606201171875,-0.8970032348632813,0.028500083923339845
