time,Trigger
0.0,0.00034332275390625
0.0005,0.00019073486328125
0.001,0.00019073486328125
0.0015,0.00049591064453125
0.002,0.00049591064453125
0.0025,0.0005340576171875
0.003,0.0005340576171875
0.0035,0.00041961669921875
0.004,0.00041961669921875
0.0045,0.00064849853515625
0.005,0.00064849853515625
0.0055,3.814697265625e-05
0.006,3.814697265625e-05
0.0065,0.0
0.007,0.0
0.0075,0.0002288818359375
0.008,0.0002288818359375
0.0085,0.0006103515625
0.009,0.0006103515625
0.0095,0.0005340576171875
0.01,0.0005340576171875
0.0105,0.0
0.011,0.0
0.0115,0.0
0.012,0.0
0.0125,0.000457763671875
0.013,0.000457763671875
0.0135,0.0002288818359375
0.014,0.0002288818359375
0.0145,0.0002288818359375
0.015,0.0002288818359375
0.0155,0.0005340576171875
0.016,0.0005340576171875
0.0165,0.00011444091796875
0.017,0.00011444091796875
0.0175,0.000457763671875
0.018,0.000457763671875
0.0185,0.0
0.019,0.0
0.0195,0.00049591064453125
0.02,0.00049591064453125
0.0205,0.00049591064453125
0.021,0.00049591064453125
0.0215,7.62939453125e-05
0.022,7.62939453125e-05
0.0225,0.0008392333984375
0.023,0.0008392333984375
0.0235,0.00026702880859375
0.024,0.00026702880859375
0.0245,-3.814697265625e-05
0.025,-3.814697265625e-05
0.0255,0.0002288818359375
0.026,0.0002288818359375
0.0265,0.00026702880859375
0.027,0.00026702880859375
0.0275,0.00019073486328125
0.028,0.00019073486328125
0.0285,7.62939453125e-05
0.029,7.62939453125e-05
0.0295,3.814697265625e-05
0.03,3.814697265625e-05
0.0305,3.814697265625e-05
0.031,3.814697265625e-05
0.0315,-0.00011444091796875
0.032,-0.00011444091796875
0.0325,0.00011444091796875
0.033,0.00011444091796875
0.0335,-3.814697265625e-05
0.034,-3.814697265625e-05
0.0345,0.0002288818359375
0.035,0.0002288818359375
0.0355,0.00019073486328125
0.036,0.00019073486328125
0.0365,-3.814697265625e-05
0.037,-3.814697265625e-05
0.0375,0.00026702880859375
0.038,0.00026702880859375
0.0385,0.000152587890625
0.039,0.000152587890625
0.0395,0.00034332275390625
0.04,0.00034332275390625
0.0405,0.00019073486328125
0.041,0.00019073486328125
0.0415,0.00019073486328125
0.042,0.00019073486328125
0.0425,0.0003814697265625
0.043,0.0003814697265625
0.0435,0.0005340576171875
0.044,0.0005340576171875
0.0445,0.00019073486328125
0.045,0.00019073486328125
0.0455,0.000152587890625
0.046,0.000152587890625
0.0465,-7.62939453125e-05
0.047,-7.62939453125e-05
0.0475,0.0003814697265625
0.048,0.0003814697265625
0.0485,0.0003814697265625
0.049,0.0003814697265625
0.0495,0.0002288818359375
0.05,0.0002288818359375
0.0505,-0.00011444091796875
0.051,-0.00011444091796875
0.0515,0.000457763671875
0.052,0.000457763671875
0.0525,0.00011444091796875
0.053,0.00011444091796875
0.0535,0.00034332275390625
0.054,0.00034332275390625
0.0545,0.00049591064453125
0.055,0.00049591064453125
0.0555,0.00019073486328125
0.056,0.00019073486328125
0.0565,0.000152587890625
0.057,0.000152587890625
0.0575,0.0
0.058,0.0
0.0585,0.00019073486328125
0.059,0.00019073486328125
0.0595,7.62939453125e-05
0.06,7.62939453125e-05
0.0605,0.0005340576171875
0.061,0.0005340576171875
0.0615,0.0006103515625
0.062,0.0006103515625
0.0625,0.00011444091796875
0.063,0.00011444091796875
0.0635,3.814697265625e-05
0.064,3.814697265625e-05
0.0645,-7.62939453125e-05
0.065,-7.62939453125e-05
0.0655,0.0
0.066,0.0
0.0665,3.814697265625e-05
0.067,3.814697265625e-05
0.0675,0.0005340576171875
0.068,0.0005340576171875
0.0685,0.0003814697265625
0.069,0.0003814697265625
0.0695,0.0006103515625
0.07,0.0006103515625
0.0705,0.00026702880859375
0.071,0.00026702880859375
0.0715,0.00011444091796875
0.072,0.00011444091796875
0.0725,0.000762939453125
0.073,0.000762939453125
0.0735,0.000152587890625
0.074,0.000152587890625
0.0745,0.00087738037109375
0.075,0.00087738037109375
0.0755,0.00011444091796875
0.076,0.00011444091796875
0.0765,0.00057220458984375
0.077,0.00057220458984375
0.0775,3.814697265625e-05
0.078,3.814697265625e-05
0.0785,0.0002288818359375
0.079,0.0002288818359375
0.0795,7.62939453125e-05
0.08,7.62939453125e-05
0.0805,0.0
0.081,0.0
0.0815,0.00041961669921875
0.082,0.00041961669921875
0.0825,7.62939453125e-05
0.083,7.62939453125e-05
0.0835,0.000457763671875
0.084,0.000457763671875
0.0845,0.0005340576171875
0.085,0.0005340576171875
0.0855,0.00057220458984375
0.086,0.00057220458984375
0.0865,-7.62939453125e-05
0.087,-7.62939453125e-05
0.0875,3.814697265625e-05
0.088,3.814697265625e-05
0.0885,3.814697265625e-05
0.089,3.814697265625e-05
0.0895,0.001068115234375
0.09,0.001068115234375
0.0905,3.814697265625e-05
0.091,3.814697265625e-05
0.0915,0.00019073486328125
0.092,0.00019073486328125
0.0925,0.0005340576171875
0.093,0.0005340576171875
0.0935,0.00019073486328125
0.094,0.00019073486328125
0.0945,0.0003814697265625
0.095,0.0003814697265625
0.0955,0.0002288818359375
0.096,0.0002288818359375
0.0965,0.00057220458984375
0.097,0.00057220458984375
0.0975,0.000152587890625
0.098,0.000152587890625
0.0985,7.62939453125e-05
0.099,7.62939453125e-05
0.0995,0.00019073486328125
0.1,0.00019073486328125
0.1005,0.00034332275390625
0.101,0.00034332275390625
0.1015,0.00011444091796875
0.102,0.00011444091796875
0.1025,7.62939453125e-05
0.103,7.62939453125e-05
0.1035,0.00026702880859375
0.104,0.00026702880859375
0.1045,0.0006103515625
0.105,0.0006103515625
0.1055,-3.814697265625e-05
0.106,-3.814697265625e-05
0.1065,0.00034332275390625
0.107,0.00034332275390625
0.1075,0.00030517578125
0.108,0.00030517578125
0.1085,0.000457763671875
0.109,0.000457763671875
0.1095,0.00019073486328125
0.11,0.00019073486328125
0.1105,0.00011444091796875
0.111,0.00011444091796875
0.1115,0.00041961669921875
0.112,0.00041961669921875
0.1125,0.0003814697265625
0.113,0.0003814697265625
0.1135,0.00011444091796875
0.114,0.00011444091796875
0.1145,0.00034332275390625
0.115,0.00034332275390625
0.1155,7.62939453125e-05
0.116,7.62939453125e-05
0.1165,0.000457763671875
0.117,0.000457763671875
0.1175,0.00034332275390625
0.118,0.00034332275390625
0.1185,0.0
0.119,0.0
0.1195,-0.00011444091796875
0.12,-0.00011444091796875
0.1205,0.00030517578125
0.121,0.00030517578125
0.1215,-7.62939453125e-05
0.122,-7.62939453125e-05
0.1225,0.000762939453125
0.123,0.000762939453125
0.1235,0.0002288818359375
0.124,0.0002288818359375
0.1245,0.00057220458984375
0.125,0.00057220458984375
0.1255,7.62939453125e-05
0.126,7.62939453125e-05
0.1265,0.00072479248046875
0.127,0.00072479248046875
0.1275,0.00011444091796875
0.128,0.00011444091796875
0.1285,0.00019073486328125
0.129,0.00019073486328125
0.1295,0.0003814697265625
0.13,0.0003814697265625
0.1305,0.0003814697265625
0.131,0.0003814697265625
0.1315,7.62939453125e-05
0.132,7.62939453125e-05
0.1325,0.0002288818359375
0.133,0.0002288818359375
0.1335,0.00034332275390625
0.134,0.00034332275390625
0.1345,0.00019073486328125
0.135,0.00019073486328125
0.1355,0.0006103515625
0.136,0.0006103515625
0.1365,0.0002288818359375
0.137,0.0002288818359375
0.1375,0.0006103515625
0.138,0.0006103515625
0.1385,0.0003814697265625
0.139,0.0003814697265625
0.1395,0.00019073486328125
0.14,0.00019073486328125
0.1405,0.0003814697265625
0.141,0.0003814697265625
0.1415,0.00030517578125
0.142,0.00030517578125
0.1425,0.00049591064453125
0.143,0.00049591064453125
0.1435,-3.814697265625e-05
0.144,-3.814697265625e-05
0.1445,0.0
0.145,0.0
0.1455,0.000152587890625
0.146,0.000152587890625
0.1465,0.00049591064453125
0.147,0.00049591064453125
0.1475,0.00011444091796875
0.148,0.00011444091796875
0.1485,0.00011444091796875
0.149,0.00011444091796875
0.1495,0.000457763671875
0.15,0.000457763671875
0.1505,7.62939453125e-05
0.151,7.62939453125e-05
0.1515,0.00034332275390625
0.152,0.00034332275390625
0.1525,0.00026702880859375
0.153,0.00026702880859375
0.1535,0.0008392333984375
0.154,0.0008392333984375
0.1545,0.00019073486328125
0.155,0.00019073486328125
0.1555,0.000152587890625
0.156,0.000152587890625
0.1565,0.00034332275390625
0.157,0.00034332275390625
0.1575,0.00049591064453125
0.158,0.00049591064453125
0.1585,7.62939453125e-05
0.159,7.62939453125e-05
0.1595,0.0002288818359375
0.16,0.0002288818359375
0.1605,0.00030517578125
0.161,0.00030517578125
0.1615,0.000152587890625
0.162,0.000152587890625
0.1625,0.0005340576171875
0.163,0.0005340576171875
0.1635,0.00026702880859375
0.164,0.00026702880859375
0.1645,0.00072479248046875
0.165,0.00072479248046875
0.1655,0.0002288818359375
0.166,0.0002288818359375
0.1665,-3.814697265625e-05
0.167,-3.814697265625e-05
0.1675,0.0002288818359375
0.168,0.0002288818359375
0.1685,0.00034332275390625
0.169,0.00034332275390625
0.1695,0.00019073486328125
0.17,0.00019073486328125
0.1705,0.00034332275390625
0.171,0.00034332275390625
0.1715,0.0002288818359375
0.172,0.0002288818359375
0.1725,0.00011444091796875
0.173,0.00011444091796875
0.1735,0.00133514404296875
0.174,0.00133514404296875
0.1745,0.00019073486328125
0.175,0.00019073486328125
0.1755,0.0002288818359375
0.176,0.0002288818359375
0.1765,0.00049591064453125
0.177,0.00049591064453125
0.1775,0.00011444091796875
0.178,0.00011444091796875
0.1785,0.00011444091796875
0.179,0.00011444091796875
0.1795,0.001068115234375
0.18,0.001068115234375
0.1805,0.00019073486328125
0.181,0.00019073486328125
0.1815,0.00057220458984375
0.182,0.00057220458984375
0.1825,0.00030517578125
0.183,0.00030517578125
0.1835,0.0005340576171875
0.184,0.0005340576171875
